route_id,schd_trip_id,stop_id,stop_sequence,arrival_time,schd_sec,trip_id,event_time,avl_sec,diff,index
20,910043020,439,53,08:29:28,30568,910043020,2019-09-06 08:33:55,203635.0,173067.0,2091.0
20,910043020,440,54,08:30:30,30630,910043020,2019-09-03 08:42:00,31320.0,690.0,2092.0
20,910043020,440,54,08:30:30,30630,910043020,2019-09-04 08:35:20,30920.000000000004,290.00000000000364,2093.0
20,910043020,440,54,08:30:30,30630,910043020,2019-09-05 08:34:11,117251.0,86621.00000000001,2094.0
20,910043020,440,54,08:30:30,30630,910043020,2019-09-06 08:36:39,203799.0,173169.0,2095.0
20,910043020,442,56,08:33:02,30782,910043020,2019-09-03 08:46:41,31601.0,819.0,2096.0
20,910043020,442,56,08:33:02,30782,910043020,2019-09-04 08:39:50,31190.000000000004,408.0000000000037,2097.0
20,910043020,442,56,08:33:02,30782,910043020,2019-09-05 08:37:50,117470.0,86688.00000000001,2098.0
20,910043020,442,56,08:33:02,30782,910043020,2019-09-06 08:38:40,203920.0,173138.0,2099.0
20,910043020,443,57,08:34:15,30855,910043020,2019-09-03 08:49:57,31797.0,942.0,2100.0
20,910043020,443,57,08:34:15,30855,910043020,2019-09-04 08:43:22,31402.000000000004,547.0000000000036,2101.0
20,910043020,443,57,08:34:15,30855,910043020,2019-09-05 08:41:12,117672.0,86817.00000000001,2102.0
20,910043020,443,57,08:34:15,30855,910043020,2019-09-06 08:41:22,204082.0,173227.0,2103.0
20,910043020,445,58,08:37:18,31038,910043020,2019-09-03 08:54:20,32060.0,1022.0,2104.0
20,910043020,445,58,08:37:18,31038,910043020,2019-09-04 08:47:25,31645.000000000004,607.0000000000036,2105.0
20,910043020,445,58,08:37:18,31038,910043020,2019-09-05 08:45:20,117920.0,86882.00000000001,2106.0
20,910043020,445,58,08:37:18,31038,910043020,2019-09-06 08:44:50,204290.0,173252.0,2107.0
20,910043020,446,59,08:39:20,31160,910043020,2019-09-03 08:55:38,32138.0,978.0,2108.0
20,910043020,446,59,08:39:20,31160,910043020,2019-09-04 08:48:52,31732.000000000004,572.0000000000036,2109.0
20,910043020,446,59,08:39:20,31160,910043020,2019-09-05 08:46:42,118002.0,86842.00000000001,2110.0
20,910043020,446,59,08:39:20,31160,910043020,2019-09-06 08:46:07,204367.0,173207.0,2111.0
20,910043020,448,61,08:43:30,31410,910043020,2019-09-03 09:00:59,32459.0,1049.0,2112.0
20,910043020,448,61,08:43:30,31410,910043020,2019-09-04 08:50:57,31857.000000000004,447.0000000000037,2113.0
20,910043020,448,61,08:43:30,31410,910043020,2019-09-05 08:51:11,118271.0,86861.00000000001,2114.0
20,910043020,448,61,08:43:30,31410,910043020,2019-09-06 08:52:23,204743.0,173333.0,2115.0
20,910043020,1119,62,08:45:50,31550,910043020,2019-09-03 09:01:58,32518.0,968.0,2116.0
20,910043020,1119,62,08:45:50,31550,910043020,2019-09-04 08:54:45,32085.000000000004,535.0000000000036,2117.0
20,910043020,1119,62,08:45:50,31550,910043020,2019-09-05 08:54:11,118451.0,86901.00000000001,2118.0
20,910043020,1119,62,08:45:50,31550,910043020,2019-09-06 08:53:10,204790.0,173240.0,2119.0
