BOARDING_STOP,INFERRED_ALIGHTING_GTFS_STOP,bin_5,mean,std
386.0,428.0,113,0.0,0.0
386.0,428.0,114,0.0,0.0
386.0,428.0,115,0.0,0.0
386.0,428.0,116,0.0,0.0
386.0,428.0,117,0.0,0.0
386.0,428.0,118,0.0,0.0
386.0,428.0,119,0.0,0.0
386.0,440.0,84,0.0,0.0
386.0,440.0,85,0.25,0.5
386.0,440.0,86,0.0,0.0
386.0,440.0,87,0.0,0.0
386.0,440.0,88,0.0,0.0
386.0,440.0,89,0.0,0.0
386.0,440.0,90,0.0,0.0
386.0,440.0,91,0.0,0.0
386.0,440.0,92,0.0,0.0
386.0,440.0,93,0.0,0.0
386.0,440.0,94,0.0,0.0
386.0,440.0,95,0.0,0.0
386.0,440.0,96,0.0,0.0
386.0,440.0,97,0.0,0.0
386.0,440.0,98,0.0,0.0
386.0,440.0,99,0.0,0.0
386.0,440.0,100,0.0,0.0
386.0,440.0,101,0.0,0.0
386.0,440.0,102,0.0,0.0
386.0,440.0,103,0.0,0.0
386.0,440.0,104,0.0,0.0
386.0,440.0,105,0.0,0.0
386.0,440.0,106,0.0,0.0
386.0,440.0,107,0.0,0.0
386.0,440.0,108,0.0,0.0
386.0,440.0,109,0.0,0.0
386.0,440.0,110,0.0,0.0
386.0,440.0,111,0.0,0.0
386.0,440.0,112,0.0,0.0
386.0,440.0,113,0.0,0.0
386.0,440.0,114,0.25,0.5
386.0,440.0,115,0.0,0.0
386.0,440.0,116,0.0,0.0
386.0,440.0,117,0.0,0.0
386.0,440.0,118,0.0,0.0
386.0,440.0,119,0.0,0.0
386.0,443.0,84,0.0,0.0
386.0,443.0,85,0.0,0.0
386.0,443.0,86,0.0,0.0
386.0,443.0,87,0.0,0.0
386.0,443.0,88,0.0,0.0
386.0,443.0,89,0.0,0.0
386.0,443.0,90,0.0,0.0
386.0,443.0,91,0.0,0.0
386.0,443.0,92,0.0,0.0
386.0,443.0,93,0.0,0.0
386.0,443.0,94,0.0,0.0
386.0,443.0,95,0.0,0.0
386.0,443.0,96,0.0,0.0
386.0,443.0,97,0.0,0.0
386.0,443.0,98,0.0,0.0
386.0,443.0,99,0.0,0.0
386.0,443.0,100,0.0,0.0
386.0,443.0,101,0.0,0.0
386.0,443.0,102,0.0,0.0
386.0,443.0,103,0.0,0.0
386.0,443.0,104,0.0,0.0
386.0,443.0,105,0.0,0.0
386.0,443.0,106,0.0,0.0
386.0,443.0,107,0.0,0.0
386.0,443.0,108,0.0,0.0
386.0,443.0,109,0.0,0.0
386.0,443.0,110,0.0,0.0
386.0,443.0,111,0.0,0.0
386.0,443.0,112,0.0,0.0
386.0,443.0,113,0.0,0.0
386.0,443.0,114,0.25,0.5
386.0,443.0,115,0.0,0.0
386.0,443.0,116,0.0,0.0
386.0,443.0,117,0.0,0.0
386.0,443.0,118,0.0,0.0
