date,trip_id,block_id,stop_sequence,stop_id,avl_arr_sec,avl_dep_sec,schd_sec,route_type
11,911318020,897302,1,386,29723.0,29723.0,29160,0
11,911951020,887802,23,386,29334.0,29511.0,29340,2
11,911004030,899503,67,8613,31280.0,31280.0,30690,0
11,911457020,907902,67,8613,31769.0,31769.0,30960,0
11,910579020,899102,67,8613,31780.0,31780.0,31230,0
11,911005030,899503,1,8613,31301.0,31301.0,31290,1
11,911242020,907802,67,8613,32042.0,32042.0,31500,0
11,911458020,907902,1,8613,31776.0,31776.0,31530,1
11,910043020,899602,67,8613,32569.0,32569.0,31770,0
11,910992020,899102,1,8613,31798.0,31798.0,31770,1
11,911243020,907802,1,8613,32094.0,32094.0,32010,1
11,911933020,887902,67,8613,32593.0,32593.0,32040,0
11,910040020,899602,1,8613,32586.0,32586.0,32280,1
11,911386020,907002,67,8613,32891.0,32891.0,32310,0
11,911930020,887902,1,8613,32605.0,32605.0,32550,1
11,911318020,897302,67,8613,34064.0,34064.0,32880,0
11,911973020,887702,1,8613,33499.0,33499.0,33090,1
11,911953020,887802,67,8613,33733.0,33733.0,33240,0
11,911321020,897302,1,8613,34074.0,34074.0,33390,1
11,911458020,907902,63,386,34475.0,34517.0,34530,1
11,911243020,907802,63,386,35424.0,35686.0,35010,1
11,911455020,907902,1,386,35053.0,35184.0,35100,0
11,911930020,887902,63,386,36484.0,36501.0,35550,1
11,911244020,907802,1,386,35696.0,35696.0,35700,0
11,911321020,897302,63,386,37030.0,37040.0,36390,1
11,911954020,887802,63,386,37138.0,37345.0,36750,1
12,911385020,907002,1,8613,18151.0,18151.0,18000,1
12,911239020,907802,1,15136,20111.0,20111.0,20100,2
12,911000030,899503,1,386,20106.0,20240.0,20220,0
12,911385020,907002,63,386,21186.0,21186.0,20760,1
12,911239020,907802,23,386,20799.0,20947.0,20820,2
12,911240020,907802,1,386,20960.0,20960.0,21000,0
12,911381020,907002,1,386,21590.0,21590.0,21600,0
12,911315020,897302,23,386,22406.0,22406.0,22020,2
12,911316020,897302,1,386,22417.0,22417.0,22200,0
12,911000030,899503,67,8613,23468.0,23468.0,23040,0
12,911003030,899503,1,8613,23488.0,23488.0,23520,1
12,911240020,907802,67,8613,24366.0,24366.0,23820,0
12,911241020,907802,1,8613,24379.0,24379.0,24300,1
12,911381020,907002,67,8613,24638.0,24862.0,24420,0
12,911382020,907002,1,8613,24894.0,24894.0,24900,1
12,911316020,897302,67,8613,25876.0,25882.0,25020,0
12,911317020,897302,1,8613,25889.0,25889.0,25500,1
12,911004030,899503,1,386,26954.0,26954.0,26970,0
12,911452020,907902,23,386,26916.0,27333.0,27060,2
12,911241020,907802,63,386,27460.0,27468.0,27180,1
12,911457020,907902,1,386,27335.0,27337.0,27240,0
12,910529020,887902,1,15136,27423.0,27423.0,27300,2
12,911242020,907802,1,386,27618.0,27662.0,27780,0
12,911971020,887702,1,15136,27886.0,27912.0,27840,2
12,911382020,907002,63,386,28407.0,28576.0,27900,1
12,910043020,899602,1,386,27763.0,27997.0,28050,0
12,910529020,887902,23,386,28458.0,28556.0,28140,2
12,911933020,887902,1,386,28574.0,28574.0,28320,0
12,911317020,897302,63,386,29182.0,29228.0,28500,1
12,911951020,887802,1,15136,28676.0,28704.0,28500,2
12,911971020,887702,23,386,28609.0,28903.0,28680,2
12,911972020,887702,1,386,28917.0,28917.0,28860,0
12,911318020,897302,1,386,29375.0,29411.0,29160,0
12,911951020,887802,23,386,29516.0,29521.0,29340,2
12,911953020,887802,1,386,29530.0,29530.0,29520,0
12,911004030,899503,67,8613,31089.0,31089.0,30690,0
12,911457020,907902,67,8613,31532.0,31532.0,30960,0
12,911005030,899503,1,8613,31346.0,31346.0,31290,1
12,911242020,907802,67,8613,31900.0,31913.0,31500,0
12,911458020,907902,1,8613,31540.0,31540.0,31530,1
12,910043020,899602,67,8613,32753.0,32753.0,31770,0
12,911243020,907802,1,8613,31920.0,31926.0,32010,1
