 stop_id,  arr_t,  dep_t,  bus_load,  pick_count,  drop_count,  denied_count 
417 28513.6 28513.6 11 0 0 0
15185 28551.4 28551.4 11 0 0 0
16110 28595.0 28595.0 11 0 0 0
420 28647.2 28653.4 10 0 1 0
421 28675.9 28675.9 10 0 0 0
16088 28699.4 28707.5 11 1 0 0
423 28746.8 28746.8 11 0 0 0
     }
- - - - - -
911457020 {
386 27260.8 27260.8 0 0 0 0
388 27308.3 27308.3 0 0 0 0
389 27332.2 27332.2 0 0 0 0
390 27358.6 27358.6 0 0 0 0
391 27378.4 27378.4 0 0 0 0
14956 27447.2 27461.5 3 3 0 0
393 27486.2 27486.2 3 0 0 0
394 27509.4 27509.4 3 0 0 0
395 27539.4 27539.4 3 0 0 0
396 27567.3 27575.4 4 1 0 0
397 27610.5 27618.6 5 1 0 0
17169 27673.7 27681.8 6 1 0 0
17162 27721.2 27721.2 6 0 0 0
14959 27796.5 27796.5 6 0 0 0
402 27830.5 27830.5 6 0 0 0
403 27856.0 27856.0 6 0 0 0
17163 27889.2 27889.2 6 0 0 0
15848 27941.9 27941.9 6 0 0 0
406 27988.0 27994.2 5 0 1 0
14500 28065.1 28073.2 6 1 0 0
15852 28126.7 28126.7 6 0 0 0
409 28170.2 28181.4 7 2 1 0
18047 28268.9 28268.9 7 0 0 0
17841 28324.4 28324.4 7 0 0 0
412 28371.9 28371.9 7 0 0 0
413 28405.7 28405.7 7 0 0 0
14764 28457.3 28465.4 7 1 1 0
415 28508.2 28508.2 7 0 0 0
416 28564.5 28570.7 6 0 1 0
417 28646.4 28646.4 6 0 0 0
15185 28678.5 28678.5 6 0 0 0
16110 28722.6 28722.6 6 0 0 0
420 28783.7 28789.9 5 0 1 0
421 28817.5 28817.5 5 0 0 0
16088 28841.3 28841.3 5 0 0 0
     }
- - - - - -
910579020 {
386 27556.1 27556.1 0 0 0 0
388 27610.5 27618.6 1 1 0 0
389 27644.9 27644.9 1 0 0 0
390 27672.0 27672.0 1 0 0 0
391 27689.9 27698.0 2 1 0 0
14956 27752.2 27763.4 4 2 0 0
393 27802.9 27802.9 4 0 0 0
394 27821.6 27821.6 4 0 0 0
395 27858.7 27866.8 5 1 0 0
396 27904.0 27904.0 5 0 0 0
397 27948.3 27948.3 5 0 0 0
17169 28016.5 28016.5 5 0 0 0
17162 28078.0 28086.1 6 1 0 0
14959 28165.5 28165.5 6 0 0 0
402 28206.8 28206.8 6 0 0 0
403 28237.9 28237.9 6 0 0 0
17163 28272.7 28272.7 6 0 0 0
15848 28325.0 28325.0 6 0 0 0
406 28362.8 28369.0 5 0 1 0
14500 28443.1 28457.4 8 3 0 0
15852 28521.9 28521.9 8 0 0 0
409 28562.1 28573.3 9 2 1 0
18047 28674.2 28674.2 9 0 0 0
17841 28730.3 28747.7 13 4 0 0
412 28801.2 28801.2 13 0 0 0
413 28845.9 28854.0 14 1 0 0
     }
- - - - - -
911242020 {
386 27793.0 27793.0 0 0 0 0
388 27838.9 27838.9 0 0 0 0
389 27869.5 27869.5 0 0 0 0
390 27898.4 27898.4 0 0 0 0
391 27915.9 27915.9 0 0 0 0
14956 27978.7 27986.8 1 1 0 0
393 28021.5 28021.5 1 0 0 0
394 28040.3 28040.3 1 0 0 0
395 28077.1 28077.1 1 0 0 0
396 28107.2 28107.2 1 0 0 0
397 28148.7 28156.8 2 1 0 0
17169 28215.2 28215.2 2 0 0 0
17162 28251.0 28262.2 4 2 0 0
14959 28347.8 28347.8 4 0 0 0
402 28393.0 28393.0 4 0 0 0
403 28418.4 28418.4 4 0 0 0
17163 28446.9 28446.9 4 0 0 0
15848 28511.9 28520.0 5 1 0 0
406 28557.8 28564.0 4 0 1 0
14500 28613.8 28613.8 4 0 0 0
15852 28661.9 28661.9 4 0 0 0
409 28692.8 28700.9 5 1 0 0
18047 28777.4 28777.4 5 0 0 0
17841 28835.6 28835.6 5 0 0 0
     }
- - - - - -
910043020 {
386 28062.4 28062.4 1 1 0 0
388 28118.2 28118.2 1 0 0 0
389 28151.3 28151.3 1 0 0 0
390 28174.5 28174.5 1 0 0 0
391 28197.3 28205.4 2 1 0 0
14956 28277.3 28277.3 2 0 0 0
393 28315.3 28315.3 2 0 0 0
394 28337.3 28351.6 5 3 0 0
395 28391.1 28391.1 5 0 0 0
396 28418.1 28418.1 5 0 0 0
397 28464.2 28464.2 5 0 0 0
17169 28521.5 28521.5 5 0 0 0
17162 28569.1 28569.1 5 0 0 0
14959 28641.2 28658.6 9 4 0 0
402 28691.8 28691.8 9 0 0 0
403 28717.7 28717.7 9 0 0 0
17163 28750.7 28761.9 11 2 0 0
15848 28821.9 28830.0 12 1 0 0
     }
- - - - - -
911933020 {
386 28383.7 28383.7 0 0 0 0
388 28419.9 28419.9 0 0 0 0
389 28437.1 28437.1 0 0 0 0
390 28457.4 28457.4 0 0 0 0
391 28476.3 28484.4 1 1 0 0
14956 28563.8 28571.9 2 1 0 0
393 28600.8 28612.0 4 2 0 0
394 28630.1 28638.2 5 1 0 0
395 28675.2 28675.2 5 0 0 0
396 28711.7 28711.7 5 0 0 0
397 28753.5 28753.5 5 0 0 0
17169 28828.3 28836.4 6 1 0 0
     }
- - - - - -
911386020 {
386 28651.9 28651.9 0 0 0 0
388 28690.8 28690.8 0 0 0 0
389 28721.9 28721.9 0 0 0 0
390 28748.3 28748.3 0 0 0 0
391 28765.8 28765.8 0 0 0 0
14956 28830.9 28842.1 2 2 0 0
