 stop_id,  arr_t,  dep_t,  bus_load,  pick_count,  drop_count,  denied_count,  hold_sec 
18047 28601.8 28601.8 7 0 0 0 0
17841 28667.0 28667.0 7 0 0 0 0
412 28721.6 28721.6 7 0 0 0 0
413 28773.3 28812.1 7 0 0 0 38.829961968698626
     }
- - - - - -
911242020 {
386 27780 27780 0 0 0 0 0
388 27827.0 27827.0 0 0 0 0 0
389 27855.4 27855.4 0 0 0 0 0
390 27879.2 27919.2 0 0 0 0 40
391 27934.4 27942.5 1 1 0 0 0
14956 28016.6 28024.7 2 1 0 0 0
393 28054.2 28062.3 3 1 0 0 0
394 28083.5 28083.5 3 0 0 0 0
395 28119.4 28142.1 3 0 0 0 22.670056677863613
396 28175.2 28183.3 4 1 0 0 0
397 28239.3 28239.3 4 0 0 0 0
17169 28291.5 28291.5 4 0 0 0 0
17162 28337.9 28337.9 4 0 0 0 0
14959 28417.5 28428.7 6 2 0 0 0
402 28462.2 28462.2 6 0 0 0 0
403 28485.6 28485.6 6 0 0 0 0
17163 28528.0 28528.0 6 0 0 0 0
15848 28571.7 28571.7 6 0 0 0 0
406 28608.7 28623.0 8 3 1 0 0
14500 28670.6 28676.8 7 0 1 0 5.046919106865971
15852 28741.8 28741.8 7 0 0 0 0
409 28770.2 28776.4 6 0 1 0 0
18047 28846.3 28846.3 6 0 0 0 0
     }
- - - - - -
910043020 {
386 28111.4 28111.4 0 0 0 0 0
388 28148.0 28159.2 2 2 0 0 0
389 28185.4 28185.4 2 0 0 0 0
390 28208.2 28208.2 2 0 0 0 0
391 28223.1 28231.2 3 1 0 0 0
14956 28310.7 28321.9 4 2 1 0 0
393 28354.8 28354.8 4 0 0 0 0
394 28369.6 28377.7 5 1 0 0 0
395 28414.9 28414.9 5 0 0 0 0
396 28448.0 28448.0 5 0 0 0 0
397 28491.7 28499.8 6 1 0 0 0
17169 28544.0 28544.0 6 0 0 0 0
17162 28592.7 28592.7 6 0 0 0 0
14959 28716.3 28716.3 6 0 0 0 0
402 28758.1 28758.1 6 0 0 0 0
403 28786.7 28786.7 6 0 0 0 0
17163 28816.9 28816.9 6 0 0 0 0
     }
- - - - - -
911933020 {
386 28339.9 28339.9 0 0 0 0 0
388 28385.6 28385.6 0 0 0 0 0
389 28413.3 28413.3 0 0 0 0 0
390 28442.5 28451.0 0 0 0 0 8.471956493980542
391 28468.7 28468.7 0 0 0 0 0
14956 28526.9 28535.0 1 1 0 0 0
393 28569.5 28569.5 1 0 0 0 0
394 28584.9 28596.1 3 2 0 0 0
395 28637.5 28637.5 3 0 0 0 0
396 28675.4 28675.4 3 0 0 0 0
397 28732.4 28732.4 3 0 0 0 0
17169 28787.8 28795.9 4 1 0 0 0
17162 28852.0 28860.1 5 1 0 0 0
     }
- - - - - -
911386020 {
386 28670.9 28670.9 1 1 0 0 0
388 28724.8 28724.8 1 0 0 0 0
389 28754.2 28762.3 2 1 0 0 0
390 28785.0 28785.0 2 0 0 0 0
391 28811.7 28819.8 3 1 0 0 0
