boarding_stop,alighting_stop,arrival_time,times_denied,boarding_time,trip_id,alighting_time
3765,18580,25026.28161830697,0,25297.07901520499,3320020,25579.16159522671
4912,18580,25314.31684373309,0,25543.276044745373,3320020,25579.16159522671
3741,3760,24501.753905145804,0,24594.10747508856,7518020,25589.42231770929
3750,3760,24855.579328049134,0,25160.6604432177,7518020,25589.42231770929
3728,2363,23019.856922842955,0,23149.843803815183,20296020,25609.17261764157
18580,2363,24478.89048210447,0,25187.76931576852,20296020,25609.17261764157
14102,17606,23528.175137329854,0,23979.29701589666,7518020,25684.346789062558
14102,3741,24769.245167288835,0,25050.0,43223020,25702.47123088029
3749,3752,25468.75988468944,0,25575.302840819044,24499020,25718.687293901152
3756,3762,25059.809449779426,0,25386.05574150171,7518020,25721.06263025791
14102,3748,24517.00383202512,0,24690.0,10006020,25733.000494588312
14102,3748,24533.28659008013,0,24690.0,10006020,25733.000494588312
18580,16192,25497.698438797735,0,25579.16159522671,3320020,25826.890721640735
14102,3756,24326.227451084007,0,24330.0,24499020,25872.8959514967
3728,3753,24728.894613173845,0,24829.489979882655,10006020,25895.526255040426
18607,3746,25416.880235453977,0,25549.565755785727,43223020,25896.63857920235
18607,3746,25553.409662278147,0,25556.18561808467,43223020,25896.63857920235
3739,3746,25301.772565038722,0,25584.18561808467,43223020,25896.63857920235
18106,3746,25316.436890920413,0,25665.666876897692,43223020,25896.63857920235
3741,3746,25299.818156399866,0,25702.47123088029,43223020,25896.63857920235
3742,3746,25590.098556063465,0,25732.041901528533,43223020,25896.63857920235
3743,3746,25516.80803969878,0,25770.53449120581,43223020,25896.63857920235
3744,3746,25611.451526375262,0,25812.078399263744,43223020,25896.63857920235
15461,17038,23466.163506846955,0,23515.236734608323,24619020,25911.52892433026
4941,17038,23662.134657602364,0,23675.812794531317,24619020,25911.52892433026
3802,17038,24073.09786986908,0,24652.92634117264,24619020,25911.52892433026
3805,17038,23905.553987239186,0,24879.808069944953,24619020,25911.52892433026
3805,17038,24148.20998174652,0,24879.808069944953,24619020,25911.52892433026
3805,17038,24373.35940617338,0,24879.808069944953,24619020,25911.52892433026
3805,17038,24771.9013570106,0,24879.808069944953,24619020,25911.52892433026
18107,17038,24501.277402790023,0,24922.35206938147,24619020,25911.52892433026
3808,17038,24005.025901364494,0,25030.93888855468,24619020,25911.52892433026
3808,17038,24542.588734688317,0,25030.93888855468,24619020,25911.52892433026
3808,17038,24626.999123403897,0,25030.93888855468,24619020,25911.52892433026
3808,17038,24962.39681528199,0,25030.93888855468,24619020,25911.52892433026
3810,17038,24051.141692680143,0,25142.348310602058,24619020,25911.52892433026
3810,17038,25046.776202632172,0,25142.348310602058,24619020,25911.52892433026
3812,17038,25120.699684656873,0,25225.463411331482,24619020,25911.52892433026
3813,17038,24524.997900014157,0,25263.148073246113,24619020,25911.52892433026
3813,17038,24562.156977131708,0,25263.148073246113,24619020,25911.52892433026
3815,17038,25075.085800206805,0,25370.65145180428,24619020,25911.52892433026
3816,17038,24821.37771085427,0,25426.14374582895,24619020,25911.52892433026
3816,17038,25170.45812121367,0,25426.14374582895,24619020,25911.52892433026
17133,17038,25204.95873977006,0,25471.553907638652,24619020,25911.52892433026
3743,3759,24792.077964980614,0,25286.915631879434,24499020,25987.660595917234
4941,17604,25230.595645278612,0,25410.064053994887,29414020,26005.41983007743
4941,17604,25292.39473137706,0,25410.064053994887,29414020,26005.41983007743
3748,3756,25670.422567949634,0,25733.000494588312,10006020,26016.292688763355
17604,18107,24944.614984050786,0,25242.131547996618,8564020,26033.98026175837
14102,3760,24009.528686896585,0,24330.0,24499020,26042.139898767084
17475,18580,23960.23733439022,0,24349.804090200818,7518020,26158.872430391315
3741,18580,24509.521810378148,0,24594.10747508856,7518020,26158.872430391315
3760,18580,25187.87798645514,0,25589.42231770929,7518020,26158.872430391315
3764,18580,25762.940107928145,0,25772.74663381277,7518020,26158.872430391315
4910,18580,25660.600975777917,0,26060.57933266244,7518020,26158.872430391315
18580,3773,25501.8887390393,0,25579.16159522671,3320020,26238.316864001165
15343,3773,25486.57559970278,0,25694.95719018614,3320020,26238.316864001165
4941,3809,23947.537101864986,0,24734.35040780756,8564020,26277.670049727894
3804,3809,25823.015650645284,0,25876.410994375048,8564020,26277.670049727894
3776,4941,25423.65459190724,0,26031.88888888889,34233020,26321.5778591606
3776,4941,25954.674602158208,0,26031.88888888889,34233020,26321.5778591606
14582,4941,25282.064522865716,0,26105.58189533927,34233020,26321.5778591606
14582,4941,25735.31781876988,0,26105.58189533927,34233020,26321.5778591606
15461,4941,25303.81012026194,0,26153.940221698613,34233020,26321.5778591606
3752,3762,25830.32427321452,0,25859.03840789204,10006020,26343.456189050386
17247,15931,25196.250469489467,0,25774.286504080665,29414020,26352.55140850295
14102,17475,25508.13928067879,0,25830.0,4552020,26373.34395032281
15461,3810,24144.013004720393,0,24567.806630428688,8564020,26406.82404710662
17247,3810,23990.129639044335,0,25045.08863539805,8564020,26406.82404710662
3804,3810,25525.391937739987,0,25876.410994375048,8564020,26406.82404710662
18107,3810,24960.925776261167,0,26033.98026175837,8564020,26406.82404710662
18107,3810,25666.881455882565,0,26033.98026175837,8564020,26406.82404710662
4941,4945,25798.932992410944,0,26321.5778591606,34233020,26477.132285379594
3749,4908,25451.865468957312,0,25575.302840819044,24499020,26499.021939347047
3749,3756,26032.48958484419,0,26069.90685088597,43223020,26509.489369448667
3794,3812,25307.06550344828,0,25441.726409202565,8564020,26511.0669934921
3794,3813,25368.5254237696,0,25441.726409202565,8564020,26550.190853263546
18580,2363,25904.00730615386,0,26158.872430391315,7518020,26550.760597494394
3749,4912,25320.626765149027,0,25575.302840819044,24499020,26610.072083539777
4941,3814,23818.75952988278,0,24734.35040780756,8564020,26629.17590442488
18107,3814,25457.585001897187,0,26033.98026175837,8564020,26629.17590442488
14102,3731,26259.17169057357,0,26280.0,4712020,26655.00558728878
4941,3804,25244.130507390568,0,25410.064053994887,29414020,26658.435246413308
18607,18580,24730.831988098696,0,25056.106200469836,24499020,26685.09490914159
3746,18580,25119.639720144576,0,25415.643835705392,24499020,26685.09490914159
3748,18580,25377.621683968053,0,25530.316962573746,24499020,26685.09490914159
3752,18580,25438.95238591547,0,25718.687293901152,24499020,26685.09490914159
17251,18580,25640.521793677446,0,25802.310672836247,24499020,26685.09490914159
4912,18580,26474.408631506885,0,26610.072083539777,24499020,26685.09490914159
3748,3760,25810.8444987537,0,26023.285280566957,43223020,26715.75710508266
3748,3760,26013.969354849043,0,26023.285280566957,43223020,26715.75710508266
3749,3760,25894.89425005659,0,26069.90685088597,43223020,26715.75710508266
17247,3816,24670.001990386118,0,25045.08863539805,8564020,26786.422489872155
3746,17606,25865.066377486637,0,25896.63857920235,43223020,26819.963564211997
3726,3743,25552.857885765683,0,25937.481938063524,4552020,26823.55109584496
3728,3743,25821.51379661037,0,25979.838935444845,4552020,26823.55109584496
4941,3807,24845.088107347885,0,25410.064053994887,29414020,26838.191142380765
14582,4941,26222.676465478646,0,26562.485340621202,6934020,26839.52857555548
14582,4941,26489.50716276237,0,26562.485340621202,6934020,26839.52857555548
5348,4941,26615.94399529263,0,26753.44955286082,6934020,26839.52857555548
4941,3787,26259.455860419337,0,26321.5778591606,34233020,26841.481309594517
3794,17133,25311.52952719593,0,25441.726409202565,8564020,26845.48965349594
3802,17133,25657.901135683966,0,25745.21630804859,8564020,26845.48965349594
3756,3762,26201.620314054202,0,26509.489369448667,43223020,26871.824752598335
3726,3744,25453.116156709515,0,25937.481938063524,4552020,26899.829701733426
17476,3744,25889.44852470064,0,26406.313516970702,4552020,26899.829701733426
3743,3744,26755.444050676353,0,26823.55109584496,4552020,26899.829701733426
15461,3788,25166.375440844684,0,26153.940221698613,34233020,26919.350506583778
4941,3788,25579.182515092612,0,26321.5778591606,34233020,26919.350506583778
4941,4945,26463.6893132045,0,26839.52857555548,6934020,26948.29366804173
4941,3818,24067.248811203528,0,24734.35040780756,8564020,26952.768989401582
17604,3818,25227.682795345532,0,25242.131547996618,8564020,26952.768989401582
4941,17603,25524.9818965323,0,26321.5778591606,34233020,26962.969613766712
4941,17603,25742.350739984162,0,26321.5778591606,34233020,26962.969613766712
17247,17603,26187.515757698937,0,26803.2279765675,34233020,26962.969613766712
5348,4947,26425.31128220526,0,26753.44955286082,6934020,27008.752654314463
4945,4947,26831.510110853473,0,26948.29366804173,6934020,27008.752654314463
14582,17604,25389.62284890398,0,26105.58189533927,34233020,27014.41731517446
14582,17604,25894.315027074943,0,26105.58189533927,34233020,27014.41731517446
14582,17604,26085.253741774693,0,26105.58189533927,34233020,27014.41731517446
4941,17604,25619.16041121711,0,26321.5778591606,34233020,27014.41731517446
3805,3809,26583.017142762714,0,26712.283666269683,29414020,27044.020302077417
4943,17246,25584.218089939895,0,26425.95399458687,34233020,27114.230318119546
4947,17246,26060.337939329496,0,26544.24581233224,34233020,27114.230318119546
14102,3746,25346.351911325863,0,25830.0,4552020,27131.92125758912
14102,3746,25554.99367997454,0,25830.0,4552020,27131.92125758912
14102,3746,25784.346455477924,0,25830.0,4552020,27131.92125758912
14102,3746,25832.403618654018,0,25845.737463625635,4552020,27131.92125758912
3728,3746,25281.880980127717,0,25979.838935444845,4552020,27131.92125758912
17476,3746,25631.266584712666,0,26406.313516970702,4552020,27131.92125758912
3737,3746,25891.98255588231,0,26436.099058844047,4552020,27131.92125758912
18607,3746,26112.93060296091,0,26497.999510029025,4552020,27131.92125758912
3739,3746,26129.01321835163,0,26539.438142504263,4552020,27131.92125758912
18106,3746,25794.744278483795,0,26653.582270398976,4552020,27131.92125758912
18106,3746,26026.566498087155,0,26653.582270398976,4552020,27131.92125758912
18106,3746,26287.764947926335,0,26653.582270398976,4552020,27131.92125758912
18106,3746,26358.40129078524,0,26653.582270398976,4552020,27131.92125758912
18106,3746,26420.586482812083,0,26653.582270398976,4552020,27131.92125758912
18106,3746,26422.612921203137,0,26653.582270398976,4552020,27131.92125758912
18106,3746,26573.28914262884,0,26653.582270398976,4552020,27131.92125758912
3741,3746,25798.254767052695,0,26706.212414858583,4552020,27131.92125758912
3741,3746,25834.834059806948,0,26706.212414858583,4552020,27131.92125758912
3741,3746,25871.82975508565,0,26706.212414858583,4552020,27131.92125758912
3741,3746,25916.889290901778,0,26706.212414858583,4552020,27131.92125758912
3741,3746,25938.927494790227,0,26706.212414858583,4552020,27131.92125758912
3741,3746,26323.753386742028,0,26706.212414858583,4552020,27131.92125758912
3741,3746,26382.95416720932,0,26706.212414858583,4552020,27131.92125758912
3741,3746,26398.651399322447,0,26706.212414858583,4552020,27131.92125758912
3741,3746,26551.22355748264,0,26706.212414858583,4552020,27131.92125758912
